ii, x  , y,,,,,,,,,,,,
0,13,258,,,,,,,,,,,,
1,109,190,,,,,,,,,,,,
2,472,343,,,,,,,,,,,,
3,501,343,,,,,,,,,,,,
4,498,284,,,,,,,,,,,,
5,499,312,,,,,,,,,,,,
6,498,257,,,,,,,,,,,,
7,468,256,,,,,,,,,,,,
8,115,50,,,,,,,,,,,,
9,533,314,,,,,,,,,,,,
10,469,286,,,,,,,,,,,,
11,467,232,,,,,,,,,,,,
12,629,245,,,,,,,,,,,,
13,528,256,,,,,,,,,,,,
14,529,283,,,,,,,,,,,,
15,474,369,,,,,,,,,,,,
16,494,230,,,,,,,,,,,,
17,562,254,,,,,,,,,,,,
18,599,283,,,,,,,,,,,,
19,535,344,,,,,,,,,,,,
20,562,282,,,,,,,,,,,,
21,564,312,,,,,,,,,,,,
22,502,369,,,,,,,,,,,,
23,595,253,,,,,,,,,,,,
24,471,312,,,,,,,,,,,,
25,528,228,,,,,,,,,,,,
26,559,226,,,,,,,,,,,,
27,599,315,,,,,,,,,,,,
28,566,343,,,,,,,,,,,,
29,596,382,,,,,,,,,,,,
30,111,133,,,,,,,,,,,,
31,603,346,,,,,,,,,,,,
32,618,382,,,,,,,,,,,,
33,75,30,,,,,,,,,,,,
34,634,307,,,,,,,,,,,,
35,614,281,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
0,200,283,,,,,,,,,,,,
1,279,286,,,,,,,,,,,,
2,215,269,,,,,,,,,,,,
3,201,257,,,,,,,,,,,,
4,227,283,,,,,,,,,,,,
5,241,270,,,,,,,,,,,,
6,251,286,,,,,,,,,,,,
7,266,287,,,,,,,,,,,,
8,253,258,,,,,,,,,,,,
9,254,271,,,,,,,,,,,,
10,227,258,,,,,,,,,,,,
11,240,246,,,,,,,,,,,,
12,203,229,,,,,,,,,,,,
13,267,272,,,,,,,,,,,,
14,281,259,,,,,,,,,,,,
15,204,242,,,,,,,,,,,,
16,238,283,,,,,,,,,,,,
17,214,284,,,,,,,,,,,,
18,215,244,,,,,,,,,,,,
19,216,258,,,,,,,,,,,,
20,268,247,,,,,,,,,,,,
21,243,233,,,,,,,,,,,,
22,202,270,,,,,,,,,,,,
23,228,272,,,,,,,,,,,,
24,257,205,,,,,,,,,,,,
25,280,275,,,,,,,,,,,,
26,205,216,,,,,,,,,,,,
27,281,208,,,,,,,,,,,,
28,269,234,,,,,,,,,,,,
29,204,204,,,,,,,,,,,,
30,230,232,,,,,,,,,,,,
31,267,221,,,,,,,,,,,,
32,254,233,,,,,,,,,,,,
33,268,205,,,,,,,,,,,,
34,216,218,,,,,,,,,,,,
35,242,204,,,,,,,,,,,,
36,217,203,,,,,,,,,,,,
37,255,218,,,,,,,,,,,,
38,281,248,,,,,,,,,,,,
39,231,217,,,,,,,,,,,,
40,255,246,,,,,,,,,,,,
41,242,218,,,,,,,,,,,,
42,241,259,,,,,,,,,,,,
43,265,258,,,,,,,,,,,,
44,280,234,,,,,,,,,,,,
45,217,231,,,,,,,,,,,,
46,231,204,,,,,,,,,,,,
47,282,221,,,,,,,,,,,,
48,229,245,,,,,,,,,,,,
49,106,139,,,,,,,,,,,,
50,476,349,,,,,,,,,,,,
51,190,254,,,,,,,,,,,,
52,633,370,,,,,,,,,,,,
53,282,194,,,,,,,,,,,,
54,188,281,,,,,,,,,,,,
55,291,273,,,,,,,,,,,,
56,219,191,,,,,,,,,,,,
57,192,202,,,,,,,,,,,,
58,191,228,,,,,,,,,,,,
59,192,217,,,,,,,,,,,,
60,204,191,,,,,,,,,,,,
61,189,270,,,,,,,,,,,,
62,230,192,,,,,,,,,,,,
63,477,446,,,,,,,,,,,,
64,190,243,,,,,,,,,,,,
65,263,298,,,,,,,,,,,,
66,293,235,,,,,,,,,,,,
67,291,262,,,,,,,,,,,,
68,131,131,,,,,,,,,,,,
69,201,294,,,,,,,,,,,,
70,237,297,,,,,,,,,,,,
71,290,289,,,,,,,,,,,,
72,245,192,,,,,,,,,,,,
73,211,295,,,,,,,,,,,,
74,279,299,,,,,,,,,,,,
75,294,220,,,,,,,,,,,,
76,226,296,,,,,,,,,,,,
77,256,193,,,,,,,,,,,,
78,271,194,,,,,,,,,,,,
79,584,321,,,,,,,,,,,,
80,252,298,,,,,,,,,,,,
,,,,,,,,,,,,,,
0,575,159,,,,,,,,,,,,
1,475,127,,,,,,,,,,,,
2,258,338,,,,,,,,,,,,
3,259,307,,,,,,,,,,,,
4,335,337,,,,,,,,,,,,
5,322,337,,,,,,,,,,,,
6,335,324,,,,,,,,,,,,
7,307,321,,,,,,,,,,,,
8,263,244,,,,,,,,,,,,
9,277,290,,,,,,,,,,,,
